Title,Dates
Bike the Bay,8/25/2024
San Diego Bayfair,9/13/2024
San Diego Bayfair,9/14/2024
San Diego Bayfair,9/15/2024
ENVZN24 Urban Art Takeover ,9/14/2024
USA Ultimate National Championships,10/24/2024
USA Ultimate National Championships,10/25/2024
USA Ultimate National Championships,10/26/2024
USA Ultimate National Championships,10/27/2024
CONCACAF W Gold Cup,2/21/2024
CONCACAF W Gold Cup,2/22/2024
CONCACAF W Gold Cup,2/23/2024
CONCACAF W Gold Cup,2/24/2024
CONCACAF W Gold Cup,2/25/2024
CONCACAF W Gold Cup,2/26/2024
CONCACAF W Gold Cup,2/27/2024
CONCACAF W Gold Cup,2/28/2024
CONCACAF W Gold Cup,2/29/2024
CONCACAF W Gold Cup,3/1/2024
CONCACAF W Gold Cup,3/2/2024
CONCACAF W Gold Cup,3/3/2024
CONCACAF W Gold Cup,3/4/2024
CONCACAF W Gold Cup,3/5/2024
CONCACAF W Gold Cup,3/6/2024
CONCACAF W Gold Cup,3/7/2024
CONCACAF W Gold Cup,3/8/2024
CONCACAF W Gold Cup,3/9/2024
CONCACAF W Gold Cup,3/10/2024
Fleet Week San Diego 2024,11/1/2024
Fleet Week San Diego 2024,11/2/2024
Fleet Week San Diego 2024,11/3/2024
Fleet Week San Diego 2024,11/4/2024
Fleet Week San Diego 2024,11/5/2024
Fleet Week San Diego 2024,11/6/2024
Fleet Week San Diego 2024,11/7/2024
Fleet Week San Diego 2024,11/8/2024
Fleet Week San Diego 2024,11/9/2024
Fleet Week San Diego 2024,11/10/2024
Fleet Week San Diego 2024,11/11/2024
San Diego International Auto Show,12/28/2024
San Diego International Auto Show,12/29/2024
San Diego International Auto Show,12/30/2024
San Diego International Auto Show,12/31/2024
San Diego International Auto Show,1/1/2025
San Diego Surf Film Festival,2/17/2024
San Diego Surf Film Festival,2/18/2024
San Diego Surf Film Festival,2/19/2024
Julian StarFest,8/2/2024
Julian StarFest,8/3/2024
Julian StarFest,8/4/2024
United States Police & Fire Championships,6/8/2024
United States Police & Fire Championships,6/9/2024
United States Police & Fire Championships,6/10/2024
United States Police & Fire Championships,6/11/2024
United States Police & Fire Championships,6/12/2024
United States Police & Fire Championships,6/13/2024
United States Police & Fire Championships,6/14/2024
United States Police & Fire Championships,6/15/2024
Coronado Island Film Festival,11/6/2024
Coronado Island Film Festival,11/7/2024
Coronado Island Film Festival,11/8/2024
Coronado Island Film Festival,11/9/2024
Coronado Island Film Festival,11/10/2024
Heart of PB Restaurant Walk,9/18/2024
WSL SAMBAZON Junior Championships,1/9/2024
WSL SAMBAZON Junior Championships,1/10/2024
WSL SAMBAZON Junior Championships,1/11/2024
WSL SAMBAZON Junior Championships,1/12/2024
WSL SAMBAZON Junior Championships,1/13/2024
WSL SAMBAZON Junior Championships,1/14/2024
Fallbrook Thanksgiving Day Turkey Trot,11/28/2024
The Spirit of the Fourth,7/4/2024
Dia de los Deftones,11/2/2024
The San Diego Smooth Jazz Festival,6/22/2024
The San Diego Smooth Jazz Festival,6/23/2024
Encinitas Holiday Parade,12/7/2024
Annual Luau and Legends of Surfing Invitational,8/24/2024
Annual Switchfoot BRO-AM,6/15/2024
Happy Hour,8/26/2024
Happy Hour,8/27/2024
OMBAC Classic Longboard Surfing Contest,9/21/2024
Asian Cultural Festival of San Diego,5/18/2024
Chauffeured Vineyards Adventures - All year round,11/12/2024
Chauffeured Vineyards Adventures - All year round,11/13/2024
Electric Bike/Train Coastal Tour,8/7/2024
Electric Bike/Train Coastal Tour,8/8/2024
"Silver Strand Half Marathon, 10 Miler & Veterans Day 5K",11/10/2024
Secret Society of Adultologists: Wonderland,7/22/2024
Secret Society of Adultologists: Wonderland,7/23/2024
Secret Society of Adultologists: Wonderland,7/24/2024
Secret Society of Adultologists: Wonderland,7/25/2024
Secret Society of Adultologists: Wonderland,7/26/2024
Secret Society of Adultologists: Wonderland,7/27/2024
