Title,Dates
Bike the Bay,"Aug 25, 2024"
San Diego Bayfair,"Sep 13 - Sep 15, 2024"
ENVZN24 Urban Art Takeover ,"Sep 14, 2024"
USA Ultimate National Championships,"Oct 24 - Oct 27, 2024"
CONCACAF W Gold Cup,"Feb 21 - Mar 10, 2024"
Fleet Week San Diego 2024,"Nov 1 - Nov 11, 2024"
San Diego International Auto Show,"Dec 28, 2024 - Jan 1, 2025"
San Diego Surf Film Festival,"Feb 17 - Feb 19, 2024"
Julian StarFest,"Aug 2 - Aug 4, 2024"
United States Police & Fire Championships,"Jun 8 - Jun 15, 2024"
Coronado Island Film Festival,"Nov 6 - Nov 10, 2024"
Heart of PB Restaurant Walk,"Sep 18, 2024"
WSL SAMBAZON Junior Championships,"Jan 9 - Jan 14, 2024"
Fallbrook Thanksgiving Day Turkey Trot,"Nov 28, 2024"
The Spirit of the Fourth,"Jul 4, 2024"
Dia de los Deftones,"Nov 2, 2024"
The San Diego Smooth Jazz Festival,"Jun 22 - Jun 23, 2024"
Encinitas Holiday Parade,"Dec 7, 2024"
Annual Luau and Legends of Surfing Invitational,"Aug 24, 2024"
Annual Switchfoot BRO-AM,"Jun 15, 2024"
Happy Hour,"Aug 26, 2024 - ongoing"
OMBAC Classic Longboard Surfing Contest,"Sep 21, 2024"
Asian Cultural Festival of San Diego,"May 18, 2024"
Chauffeured Vineyards Adventures - All year round,"Nov 12, 2024 - ongoing"
Electric Bike/Train Coastal Tour,"Aug 7, 2024 - ongoing"
"Silver Strand Half Marathon, 10 Miler & Veterans Day 5K","Nov 10, 2024"
Secret Society of Adultologists: Wonderland,"Jul 22 - Sep 14, 2024"
San Diego International Triathlon,"Jun 23, 2024"
2024 Annual Taste of Encinitas,"Aug 27, 2024"
"Carmel Valley Trail 5K, 10K and 15K","Oct 12, 2024"
Coronado Summer Concert Series,"May 26, 2024 - ongoing"
An Old Fashioned Fourth of July & Fireworks,"Jul 4, 2024"
Sycuan Pow-Wow,"Sep 6 - Sep 8, 2024"
Heiva San Diego,"Aug 2 - Aug 4, 2024"
Queen Bee Market,"Oct 28 - Oct 29, 2024"
El Cajon 4th of July Fireworks,"Jul 4, 2024"
Little Italy Summer Film Festival,"Aug 3 - Aug 31, 2024"
"Brothels, Bites and Booze - Gaslamp Food Tour","Oct 22, 2024 - ongoing"
