wait_times/bwt_day,wait_times/time_slot,wait_times/cv_time_avg,wait_times/xcv_time_avg,wait_times/pv_time_avg,wait_times/xpv_time_avg,wait_times/pv_ready_lanes_time_avg,wait_times/ped_time_avg,wait_times/ped_ready_lanes_time_avg
3,0,0,0,29,7,7,5,4
3,1,0,0,8,5,7,5,4
3,2,0,0,23,5,16,6,4
3,3,0,0,44,5,33,7,6
3,4,0,0,47,7,37,21,15
3,5,0,0,79,18,56,21,15
3,6,0,0,96,17,77,27,21
3,7,0,0,86,18,70,34,5
3,8,0,0,90,17,70,40,5
3,9,0,0,97,17,76,35,5
3,10,0,0,106,17,84,39,5
3,11,0,0,110,16,77,38,5
3,12,0,0,108,15,70,28,5
3,13,0,0,116,16,74,27,5
3,14,0,0,109,17,69,30,5
3,15,0,0,106,10,59,31,4
3,16,0,0,97,11,48,30,3
3,17,0,0,89,9,40,33,4
3,18,0,0,73,11,33,28,3
3,19,0,0,63,9,31,28,3
3,20,0,0,45,9,23,6,3
3,21,0,0,29,8,16,5,3
3,22,0,0,18,9,13,5,3
3,23,0,0,18,7,10,5,3
4,0,0,0,14,6,10,5,4
4,1,0,0,6,5,6,5,4
4,2,0,0,14,5,9,6,4
4,3,0,0,26,5,16,9,4
4,4,0,0,50,5,25,20,16
4,5,0,0,60,15,41,29,24
4,6,0,0,80,13,51,40,30
4,7,0,0,98,14,61,40,3
4,8,0,0,98,20,64,19,3
4,9,0,0,95,19,66,28,3
4,10,0,0,101,16,76,33,3
4,11,0,0,104,18,79,41,3
4,12,0,0,111,20,86,44,3
4,13,0,0,119,15,94,50,3
4,14,0,0,116,14,99,36,3
4,15,0,0,95,11,64,38,4
4,16,0,0,84,10,61,43,4
4,17,0,0,58,10,44,38,4
4,18,0,0,43,10,35,34,4
4,19,0,0,33,9,24,26,3
4,20,0,0,28,8,20,11,3
4,21,0,0,15,8,13,6,3
4,22,0,0,10,8,10,5,3
4,23,0,0,35,8,11,5,4
5,0,0,0,6,5,6,5,4
5,1,0,0,6,5,6,5,4
5,2,0,0,6,5,6,5,4
5,3,0,0,9,5,8,5,4
5,4,0,0,16,5,11,5,4
5,5,0,0,41,5,29,11,4
5,6,0,0,63,8,50,21,6
5,7,0,0,96,13,76,20,1
5,8,0,0,106,15,96,21,1
