wait_times/bwt_day,wait_times/time_slot,wait_times/cv_time_avg,wait_times/xcv_time_avg,wait_times/pv_time_avg,wait_times/xpv_time_avg,wait_times/pv_ready_lanes_time_avg,wait_times/ped_time_avg,wait_times/ped_ready_lanes_time_avg
0,0,0,0,38,5,12,5,4
0,1,0,0,20,6,9,5,4
0,2,0,0,25,5,19,5,4
0,3,0,0,48,6,32,5,4
0,4,0,0,52,6,35,15,8
0,5,0,0,61,14,42,19,12
0,6,0,0,56,15,40,23,16
0,7,0,0,59,15,53,29,3
0,8,0,0,70,15,67,31,3
0,9,0,0,63,13,48,28,3
0,10,0,0,69,12,49,27,3
0,11,0,0,73,12,54,25,3
0,12,0,0,71,15,55,31,3
0,13,0,0,73,12,76,37,3
0,14,0,0,80,13,61,41,3
0,15,0,0,83,10,57,44,4
0,16,0,0,84,10,54,39,3
0,17,0,0,84,10,50,40,3
0,18,0,0,81,12,50,43,3
0,19,0,0,71,9,48,40,3
0,20,0,0,72,8,43,40,3
0,21,0,0,60,9,34,17,3
0,22,0,0,52,9,30,5,3
0,23,0,0,46,8,27,5,4
1,0,0,0,48,5,32,5,4
1,1,0,0,39,5,30,5,4
1,2,0,0,42,5,31,5,4
1,3,0,0,63,5,58,7,4
1,4,0,0,82,7,70,20,11
1,5,0,0,82,15,70,26,19
1,6,0,0,83,17,69,40,26
1,7,0,0,83,16,72,33,4
1,8,0,0,86,18,75,52,4
1,9,0,0,125,13,76,47,4
1,10,0,0,97,14,88,50,4
1,11,0,0,106,16,95,52,4
1,12,0,0,109,15,94,56,4
1,13,0,0,116,15,99,58,4
1,15,0,0,122,12,98,51,18
1,16,0,0,118,11,85,50,17
1,17,0,0,104,10,70,45,15
1,18,0,0,90,12,58,44,10
1,19,0,0,71,10,32,39,6
1,20,0,0,60,9,38,29,5
1,21,0,0,50,8,30,20,5
1,22,0,0,41,8,23,5,5
1,23,0,0,30,6,20,5,4
2,0,0,0,17,6,10,5,2
2,1,0,0,13,5,11,6,2
2,2,0,0,29,5,26,6,2
2,3,0,0,43,5,35,10,3
2,4,0,0,62,7,52,33,18
2,5,0,0,71,14,59,36,17
2,6,0,0,84,20,70,38,9
2,7,0,0,89,19,72,47,6
2,8,0,0,104,22,85,46,6
2,9,0,0,115,18,103,49,6
2,10,0,0,119,18,102,51,6
2,11,0,0,114,19,98,66,7
2,12,0,0,105,18,82,69,8
2,13,0,0,100,19,77,62,6
2,14,0,0,99,18,77,48,5
2,16,0,0,82,12,58,41,9
2,15,0,0,95,11,75,45,9
2,17,0,0,54,11,44,39,8
2,18,0,0,62,9,32,36,7
2,19,0,0,48,9,26,33,7
2,20,0,0,36,9,22,21,5
2,21,0,0,27,10,20,11,4
2,22,0,0,21,9,17,7,4
2,23,0,0,23,6,15,6,2
3,0,0,0,9,5,6,5,2
3,1,0,0,21,5,16,8,2
3,2,0,0,40,5,26,9,3
3,3,0,0,65,5,48,15,4
3,4,0,0,74,9,60,35,8
3,5,0,0,89,11,68,51,11
3,6,0,0,93,15,76,51,8
3,7,0,0,93,14,76,50,5
3,8,0,0,101,18,79,51,5
3,9,0,0,113,18,81,49,5
3,10,0,0,121,18,83,35,5
3,11,0,0,119,20,85,39,5
3,12,0,0,118,18,94,44,5
3,13,0,0,123,18,101,45,5
3,14,0,0,125,18,101,48,4
3,15,0,0,115,16,86,38,4
3,16,0,0,108,13,75,43,5
3,17,0,0,100,10,64,49,5
3,18,0,0,84,10,48,50,5
3,19,0,0,78,10,38,40,4
3,20,0,0,59,6,24,23,2
3,21,0,0,33,6,13,10,2
3,22,0,0,14,6,9,5,2
3,23,0,0,13,6,9,5,2
4,0,0,0,10,6,10,5,2
4,1,0,0,14,5,10,8,2
4,2,0,0,33,5,19,13,4
4,3,0,0,53,5,36,23,4
4,4,0,0,68,8,49,35,11
4,5,0,0,73,11,55,45,15
4,6,0,0,83,13,61,58,19
4,7,0,0,93,16,66,49,4
4,8,0,0,110,16,80,43,4
4,9,0,0,113,16,85,50,4
4,10,0,0,120,16,91,59,4
4,11,0,0,126,18,98,54,4
4,12,0,0,123,20,91,59,4
4,13,0,0,133,17,108,51,4
4,14,0,0,134,16,111,50,4
4,15,0,0,126,11,98,55,4
4,16,0,0,116,10,78,49,4
4,17,0,0,80,9,49,35,4
4,18,0,0,63,9,39,34,4
4,19,0,0,54,11,34,34,4
4,20,0,0,36,11,25,19,3
4,21,0,0,18,8,14,9,3
4,22,0,0,13,5,10,5,3
4,23,0,0,14,6,6,5,4
5,0,0,0,5,5,5,5,4
5,1,0,0,5,5,5,5,4
5,2,0,0,5,5,5,5,5
5,3,0,0,8,5,6,5,5
5,4,0,0,18,5,11,8,5
5,5,0,0,34,5,28,11,5
5,6,0,0,44,8,38,18,5
5,7,0,0,73,15,61,21,4
5,8,0,0,96,16,70,31,4
5,9,0,0,105,21,90,36,4
5,10,0,0,113,23,103,43,4
5,11,0,0,134,26,118,46,4
5,12,0,0,149,26,129,49,4
5,13,0,0,159,30,138,65,4
5,14,0,0,163,20,140,60,4
5,15,0,0,168,22,140,56,13
5,16,0,0,174,21,136,56,14
5,17,0,0,170,19,135,61,15
5,18,0,0,169,16,134,73,16
5,19,0,0,171,19,128,80,21
5,20,0,0,166,14,116,76,26
5,21,0,0,155,14,99,58,21
5,22,0,0,154,11,95,43,18
5,23,0,0,124,13,86,20,2
6,0,0,0,109,6,68,14,2
6,1,0,0,101,5,53,11,2
6,2,0,0,88,5,33,6,2
6,3,0,0,38,5,19,6,2
6,4,0,0,28,7,16,8,2
6,5,0,0,30,5,18,10,3
6,6,0,0,45,9,28,10,3
6,7,0,0,60,6,38,10,4
6,8,0,0,69,14,46,15,4
6,9,0,0,84,14,55,24,4
6,10,0,0,91,15,59,44,4
6,11,0,0,99,19,64,49,4
6,12,0,0,110,15,73,45,4
6,13,0,0,123,19,79,40,10
6,14,0,0,124,19,88,41,10
6,15,0,0,128,16,94,41,32
6,16,0,0,130,11,103,31,22
6,17,0,0,126,11,85,29,23
6,18,0,0,105,10,68,30,24
6,19,0,0,85,10,50,31,26
6,20,0,0,68,13,40,29,23
6,21,0,0,64,8,39,20,16
6,22,0,0,61,8,34,15,5
6,23,0,0,51,7,28,6,4
1,14,0,0,118,13,104,34,4
