wait_times/bwt_day,wait_times/time_slot,wait_times/cv_time_avg,wait_times/xcv_time_avg,wait_times/pv_time_avg,wait_times/xpv_time_avg,wait_times/pv_ready_lanes_time_avg,wait_times/ped_time_avg,wait_times/ped_ready_lanes_time_avg
4,0,0,0,22,7,17,5,3
4,1,0,0,16,5,10,6,3
4,2,0,0,26,5,14,7,5
4,3,0,0,37,5,27,9,6
4,4,0,0,58,6,43,20,11
4,5,0,0,76,12,63,37,22
4,6,0,0,91,10,66,44,26
4,7,0,0,87,18,74,39,4
4,8,0,0,82,39,65,44,4
4,9,0,0,87,17,72,51,4
4,10,0,0,82,17,65,51,5
4,11,0,0,76,17,64,45,4
4,12,0,0,77,17,66,49,4
4,13,0,0,81,16,72,52,4
4,14,0,0,83,17,64,49,4
4,15,0,0,80,10,60,51,4
4,16,0,0,69,11,48,55,4
4,17,0,0,54,9,36,47,4
4,18,0,0,43,10,27,44,4
4,19,0,0,35,10,27,43,4
4,20,0,0,35,8,26,32,4
4,21,0,0,30,8,20,9,4
4,22,0,0,19,8,15,5,4
4,23,0,0,23,8,15,5,5
5,0,0,0,15,6,10,5,5
5,1,0,0,5,5,5,5,5
5,2,0,0,5,5,5,5,5
5,3,0,0,5,5,5,5,5
5,4,0,0,15,5,11,5,5
5,5,0,0,30,6,22,8,5
5,6,0,0,47,10,33,14,6
5,7,0,0,74,11,59,12,3
5,8,0,0,90,14,67,8,3
5,9,0,0,97,17,78,19,3
5,10,0,0,108,19,83,25,3
5,11,0,0,118,34,74,28,3
5,12,0,0,125,19,89,40,3
5,13,0,0,140,18,93,39,3
5,14,0,0,147,20,94,42,3
5,15,0,0,148,21,103,38,3
5,16,0,0,150,20,97,37,3
5,17,0,0,151,19,88,42,4
5,18,0,0,147,15,81,44,3
5,19,0,0,143,13,83,45,3
5,20,0,0,139,11,78,46,3
5,21,0,0,133,12,80,38,2
5,22,0,0,131,10,78,26,2
5,23,0,0,123,13,97,6,3
6,0,0,0,111,11,88,5,3
6,1,0,0,97,6,74,5,3
6,2,0,0,57,5,39,5,3
6,3,0,0,45,5,27,5,3
6,4,0,0,39,5,19,7,3
6,5,0,0,48,6,23,10,4
6,6,0,0,51,5,35,16,4
6,7,0,0,52,9,39,14,4
6,8,0,0,57,11,48,14,4
6,9,0,0,63,14,56,23,4
6,10,0,0,79,16,67,33,4
6,11,0,0,91,17,72,37,4
6,12,0,0,105,19,80,42,4
6,13,0,0,120,20,95,55,4
6,14,0,0,133,19,107,53,4
6,15,0,0,145,18,113,47,42
6,16,0,0,150,17,118,42,37
6,17,0,0,170,18,134,46,42
6,18,0,0,168,13,124,53,47
6,19,0,0,150,14,106,61,56
6,20,0,0,149,13,101,63,60
6,21,0,0,150,13,102,53,52
6,22,0,0,144,12,94,39,38
6,23,0,0,118,11,81,15,3
0,0,0,0,125,6,80,5,3
0,1,0,0,94,5,50,5,3
0,2,0,0,61,5,41,5,3
0,3,0,0,58,6,45,5,3
0,4,0,0,71,9,66,20,4
0,5,0,0,95,52,83,39,8
0,6,0,0,103,21,91,53,9
0,7,0,0,113,24,105,58,3
0,8,0,0,120,23,114,38,3
0,9,0,0,135,15,121,73,4
0,10,0,0,140,19,120,79,4
0,11,0,0,149,20,105,71,4
0,12,0,0,161,21,100,53,3
0,13,0,0,159,20,103,60,3
0,14,0,0,154,19,99,68,4
0,15,0,0,146,13,96,60,5
0,16,0,0,141,8,84,53,5
0,17,0,0,121,10,68,53,5
0,18,0,0,103,9,48,46,5
0,19,0,0,84,9,35,39,2
0,20,0,0,60,8,25,21,3
0,21,0,0,39,6,16,11,3
0,22,0,0,25,6,16,9,1
0,23,0,0,36,8,28,5,5
1,0,0,0,28,6,24,5,5
1,1,0,0,24,5,24,5,5
1,2,0,0,21,5,20,5,5
1,3,0,0,51,5,39,8,8
1,4,0,0,73,9,61,19,11
1,5,0,0,98,20,75,39,11
1,6,0,0,98,23,83,33,9
1,7,0,0,100,21,80,34,5
1,8,0,0,108,19,84,29,5
1,9,0,0,113,15,83,29,5
1,10,0,0,115,18,83,34,5
1,11,0,0,114,20,78,53,5
1,12,0,0,113,20,79,53,5
1,13,0,0,119,19,80,48,5
1,14,0,0,118,18,85,43,5
1,15,0,0,116,14,74,54,5
1,16,0,0,105,10,61,46,5
1,17,0,0,85,10,45,48,4
1,18,0,0,73,10,38,45,4
1,19,0,0,69,11,31,43,4
1,20,0,0,58,10,30,34,4
1,21,0,0,54,10,34,11,4
1,22,0,0,41,9,25,5,4
1,23,0,0,46,11,38,5,5
2,0,0,0,34,6,21,5,5
2,1,0,0,14,5,15,5,5
2,2,0,0,15,5,18,5,5
2,3,0,0,25,5,26,5,5
2,4,0,0,60,9,54,20,16
2,5,0,0,93,16,71,33,26
2,6,0,0,95,19,76,45,34
2,7,0,0,96,20,71,41,5
2,8,0,0,78,18,75,38,5
2,9,0,0,69,14,61,38,5
2,10,0,0,68,16,61,29,5
2,11,0,0,64,19,63,26,5
2,12,0,0,66,16,65,21,5
2,13,0,0,71,18,73,21,5
2,14,0,0,74,15,81,18,5
2,15,0,0,64,8,55,21,2
2,16,0,0,55,8,41,18,2
2,17,0,0,49,10,31,21,2
2,18,0,0,46,9,34,23,2
2,19,0,0,35,8,26,24,2
2,20,0,0,36,6,18,16,2
2,21,0,0,29,6,14,8,2
2,22,0,0,28,6,15,5,2
2,23,0,0,45,11,33,5,4
